
# mean = 0.300248, variance = 151.123
# distance correlation
0.000000 151.212888
0.010000 149.559352
0.020000 145.447089
0.030000 139.866750
0.040000 133.129484
0.050000 125.574298
0.060000 117.525879
0.070000 109.269192
0.080000 101.039288
0.090000 93.019952
0.100000 85.346425
0.110000 78.110503
0.120000 71.368418
0.130000 65.148699
0.140000 59.458243
0.150000 54.288257
0.160000 49.619149
0.170000 45.423446
0.180000 41.668966
0.190000 38.320338
0.200000 35.340217
0.210000 32.691894
0.220000 30.340710
0.230000 28.254069
0.240000 26.401968
0.250000 24.756549
0.260000 23.291618
0.270000 21.983902
0.280000 20.812224
0.290000 19.757089
0.300000 18.801433
0.310000 17.930092
0.320000 17.129583
0.330000 16.388882
0.340000 15.699624
0.350000 15.055049
0.360000 14.448926
0.370000 13.876080
0.380000 13.332779
0.390000 12.816071
0.400000 12.324681
0.410000 11.857551
0.420000 11.413075
0.430000 10.991094
0.440000 10.592065
0.450000 10.215562
0.460000 9.860825
0.470000 9.526891
0.480000 9.211107
0.490000 8.910587
0.500000 8.623466
0.510000 8.347725
0.520000 8.082012
0.530000 7.825763
0.540000 7.578797
0.550000 7.340832
0.560000 7.111500
0.570000 6.891319
0.580000 6.680308
0.590000 6.477469
0.600000 6.281831
0.610000 6.092537
0.620000 5.908735
0.630000 5.729537
0.640000 5.553989
0.650000 5.380936
0.660000 5.209943
0.670000 5.041755
0.680000 4.876847
0.690000 4.714928
0.700000 4.556455
0.710000 4.402522
0.720000 4.253900
0.730000 4.111229
0.740000 3.974756
0.750000 3.844101
0.760000 3.718575
0.770000 3.598144
0.780000 3.482868
0.790000 3.372673
0.800000 3.267864
0.810000 3.168583
0.820000 3.074965
0.830000 2.987021
0.840000 2.904306
0.850000 2.826223
0.860000 2.752650
0.870000 2.683605
0.880000 2.618581
0.890000 2.556816
0.900000 2.498045
0.910000 2.442019
0.920000 2.388491
0.930000 2.337927
0.940000 2.290133
0.950000 2.243869
0.960000 2.198565
0.970000 2.154198
0.980000 2.109904
0.990000 0.000000
