
# mean = 0.113341, variance = 150.047
# distance correlation
0.000000 150.060289
0.010000 145.385735
0.020000 132.694840
0.030000 114.244920
0.040000 92.038486
0.050000 68.203023
0.060000 44.685418
0.070000 23.060821
0.080000 4.447310
0.090000 -10.501472
0.100000 -21.553795
0.110000 -28.828098
0.120000 -32.706355
0.130000 -33.745581
0.140000 -32.595497
0.150000 -29.925958
0.160000 -26.368122
0.170000 -22.471562
0.180000 -18.675850
0.190000 -15.297352
0.200000 -12.528806
0.210000 -10.448216
0.220000 -9.036752
0.230000 -8.203059
0.240000 -7.809662
0.250000 -7.699951
0.260000 -7.721944
0.270000 -7.744708
0.280000 -7.670278
0.290000 -7.439234
0.300000 -7.029410
0.310000 -6.451255
0.320000 -5.740085
0.330000 -4.945856
0.340000 -4.123457
0.350000 -3.325869
0.360000 -2.599481
0.370000 -1.979116
0.380000 -1.484800
0.390000 -1.121437
0.400000 -0.878928
0.410000 -0.736488
0.420000 -0.667827
0.430000 -0.643537
0.440000 -0.635188
0.450000 -0.619599
0.460000 -0.580206
0.470000 -0.507111
0.480000 -0.397759
0.490000 -0.254667
0.500000 -0.083167
0.510000 0.108868
0.520000 0.312980
0.530000 0.521340
0.540000 0.727465
0.550000 0.926216
0.560000 1.113852
0.570000 1.288733
0.580000 1.449300
0.590000 1.592859
0.600000 1.716558
0.610000 1.817658
0.620000 1.893023
0.630000 1.939273
0.640000 1.953571
0.650000 1.934477
0.660000 1.883885
0.670000 1.807282
0.680000 1.711644
0.690000 1.604333
0.700000 1.493862
0.710000 1.388845
0.720000 1.296195
0.730000 1.220748
0.740000 1.164991
0.750000 1.128692
0.760000 1.108915
0.770000 1.101713
0.780000 1.102537
0.790000 1.106780
0.800000 1.111115
0.810000 1.113654
0.820000 1.114163
0.830000 1.113549
0.840000 1.113024
0.850000 1.113826
0.860000 1.117252
0.870000 1.124155
0.880000 1.134766
0.890000 1.149309
0.900000 1.168508
0.910000 1.192496
0.920000 1.220193
0.930000 1.249595
0.940000 1.276839
0.950000 1.296683
0.960000 1.305190
0.970000 1.300627
0.980000 1.282376
0.990000 0.000000
